data
"Hipertansiyon, kan basıncının sürekli olarak yüksek seyretmesi durumudur ve uzun vadede kalp hastalıklarına yol açabilir."
"Diyabet, vücudun insülini yeterince üretememesi veya kullanamaması sonucu ortaya çıkan kronik bir hastalıktır."
"KOAH, akciğerlerde hava akışını kısıtlayan kronik bir hastalıktır ve genellikle sigara kullanımı ile ilişkilidir."
"Obezite, vücutta aşırı yağ birikimi sonucu oluşan ve çeşitli sağlık sorunlarına yol açabilen bir durumdur."
"Osteoporoz, kemiklerin zamanla zayıflaması ve kırılgan hale gelmesiyle karakterize edilen bir hastalıktır."
"Anemi, kandaki sağlıklı kırmızı kan hücrelerinin veya hemoglobinin yetersiz olması durumudur."
"Migren, genellikle başın bir tarafında zonklayıcı ağrı ile kendini gösteren nörolojik bir hastalıktır."
"Kalp yetmezliği, kalbin vücuda yeterince kan pompalayamaması durumudur."
"Depresyon, sürekli üzüntü ve ilgi kaybı ile karakterize edilen yaygın bir ruh sağlığı bozukluğudur."
"Artrit, eklemlerde iltihaplanma ve sertleşmeye neden olan bir hastalıktır."
